Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,Ball_Faced,Strike_Rate,100's,50's
DA Gunawardene ,Sri Lanka,1998,2006,61,61,1,1708,132,28.46,2389,71.49,1,12
Jatinder Singh ,Oman,2019,2025,61,60,2,1704,118,29.37,2322,73.38,4,9
AT Rayudu ,India,2013,2019,55,50,14,1694,124,47.05,2143,79.04,3,10
ND McKenzie ,South Africa,2000,2009,64,55,10,1688,131,37.51,2432,69.4,2,10
NC Johnson ,Zimbabwe,1998,2000,48,48,2,1679,132,36.5,2389,70.28,4,11
WA Young ,New Zealand,2021,2025,46,46,5,1674,120,40.82,1934,86.55,4,10
BA Young ,New Zealand,1990,1999,74,73,5,1668,74,24.52,2733,61.03,0,9
Aaron Jones ,United States,2019,2025,52,52,3,1664,123,33.95,2329,71.44,1,11
Ibrahim Zadran ,Afghanistan,2019,2025,36,36,3,1656,177,50.18,1993,83.09,6,7
Mehidy Hasan Miraz ,Bangladesh,2017,2025,108,79,11,1654,112,24.32,2142,77.21,2,6
UDU Chandana ,Sri Lanka,1994,2007,147,111,17,1627,89,17.3,2229,72.99,0,5
CK Kapugedera ,Sri Lanka,2006,2017,102,84,7,1624,95,21.09,2254,72.04,0,8
N Dickwella ,Sri Lanka,2014,2022,55,52,1,1604,116,31.45,1717,93.41,2,9
Najmul Hossain Shanto ,Bangladesh,2018,2025,52,51,3,1602,122,33.37,2021,79.26,3,10
MD Gunathilaka ,Sri Lanka,2015,2022,47,46,1,1601,133,35.57,1844,86.82,2,11
GM Turner ,New Zealand,1973,1983,41,40,6,1598,171,47.0,2348,68.05,3,9
WIA Fernando ,Sri Lanka,2016,2025,51,50,0,1589,127,31.78,1787,88.91,4,9
LPC Silva ,Sri Lanka,1999,2011,75,62,7,1587,107,28.85,2254,70.4,1,13
Stuart Williams,West Indies,1994,1999,57,55,6,1586,105,32.36,2402,66.02,1,12
Saleem Elahi ,Pakistan,1995,2004,48,47,4,1579,135,36.72,2214,71.31,4,9
RL Dias ,Sri Lanka,1979,1987,58,55,5,1573,121,31.46,2315,67.94,2,11
Aasif Sheikh ,Nepal,2021,2025,59,59,5,1569,110,29.05,2058,76.23,1,13
Muhammad Waseem ,United Arab Emirates,2022,2025,61,61,0,1567,119,25.68,1772,88.43,1,8
DR Smith ,West Indies,2004,2015,105,89,5,1560,97,18.57,1683,92.69,0,8
UT Khawaja ,Australia,2013,2019,40,39,2,1554,104,42.0,1848,84.09,2,12
IK Pathan ,India,2004,2012,120,87,21,1544,83,23.39,1941,79.54,0,5
SO Hetmyer ,West Indies,2017,2025,57,52,3,1543,139,31.48,1464,105.39,5,4
RN ten Doeschate ,Netherlands,2006,2011,33,32,9,1541,119,67.0,1757,87.7,5,9
J Charles ,West Indies,2012,2023,58,58,0,1537,130,26.5,1803,85.24,2,7
MA Leask ,Scotland,2014,2025,89,71,14,1535,107,26.92,1352,113.53,1,8
DL Houghton ,Zimbabwe,1983,1997,63,60,2,1530,142,26.37,2155,70.99,1,12
LRD Mendis ,Sri Lanka,1975,1989,79,74,9,1527,80,23.49,2034,75.07,0,7
CR Woakes ,England,2011,2023,122,88,24,1524,95,23.81,1710,89.12,0,6
Azhar Mahmood ,Pakistan,1996,2007,143,110,26,1521,67,18.1,1988,76.5,0,3
RS Morton ,West Indies,2002,2010,56,51,6,1519,110,33.75,2289,66.36,2,10
JJ Crowe ,New Zealand,1983,1990,75,71,12,1518,88,25.72,2456,61.8,0,7
JM Kemp ,South Africa,2001,2007,85,66,18,1512,100,31.5,1819,83.12,1,10
RD Shah ,Kenya,1998,2007,56,55,1,1506,113,27.88,2298,65.53,1,12
Rohan Mustafa ,United Arab Emirates,2014,2023,81,75,5,1504,109,21.48,2366,63.56,1,7
MA Ouma ,Kenya,2004,2014,80,77,5,1501,61,20.84,2525,59.44,0,7
KU Carty ,West Indies,2022,2025,40,37,5,1495,170,46.71,1857,80.5,4,5
JDS Neesham ,New Zealand,2013,2023,76,65,12,1495,97,28.2,1496,99.93,0,7
MP Stoinis ,Australia,2015,2024,71,64,8,1495,146,26.69,1591,93.96,1,6
BA King ,West Indies,2019,2025,55,55,2,1468,112,27.69,1763,83.26,3,8
GH Dockrell ,Ireland,2010,2025,133,94,29,1459,91,22.44,1791,81.46,0,6
HJH Marshall ,New Zealand,2003,2007,66,62,9,1454,101,27.43,1990,73.06,1,12
DJ Malan ,England,2019,2023,30,30,4,1450,140,55.76,1488,97.44,6,7
DD Ebrahim ,Zimbabwe,2001,2005,82,76,6,1443,121,20.61,2540,56.81,1,4
MJ Santner ,New Zealand,2015,2025,118,86,31,1438,67,26.14,1584,90.78,0,3
DP Conway ,New Zealand,2021,2025,36,35,3,1431,152,44.71,1631,87.73,5,4
Nasir Jamshed ,Pakistan,2008,2015,48,48,3,1418,112,31.51,1881,75.38,3,8
HA Gomes ,West Indies,1978,1987,83,64,15,1415,101,28.87,2578,54.88,1,6
N Boje ,South Africa,1995,2005,115,71,18,1414,129,26.67,1594,88.7,2,4
MO Odumbe ,Kenya,1996,2003,61,59,5,1409,83,26.09,2014,69.96,0,11
P Utseya ,Zimbabwe,2004,2015,164,132,48,1406,68,16.73,2410,58.34,0,4
K Bhurtel ,Nepal,2021,2025,61,60,1,1398,115,23.69,1715,81.51,1,9
KM Jadhav ,India,2014,2020,73,52,19,1389,120,42.09,1367,101.6,2,6
GP Howarth ,New Zealand,1975,1985,70,65,5,1384,76,23.06,2301,60.14,0,6
Rashid Khan ,Afghanistan,2015,2025,114,87,16,1384,60,19.49,1320,104.84,0,5
TP Ura ,Papua New Guinea,2014,2023,61,61,1,1363,151,22.71,1758,77.53,1,6
JD Ryder ,New Zealand,2008,2014,48,42,1,1362,107,33.21,1429,95.31,3,6
BC Broad ,England,1987,1988,34,34,0,1361,106,40.02,2447,55.61,1,11
DO Obuya ,Kenya,2001,2012,74,73,3,1355,93,19.35,2135,63.46,0,6
Anamul Haque ,Bangladesh,2012,2024,49,46,0,1352,120,29.39,1808,74.77,3,5
W Barresi ,Netherlands,2010,2025,55,54,5,1352,137,27.59,1775,76.16,1,8
Asad Shafiq ,Pakistan,2010,2017,60,58,4,1336,84,24.74,1979,67.5,0,9
PG Fulton ,New Zealand,2004,2009,49,46,5,1334,112,32.53,1833,72.77,1,8
Sabbir Rahman ,Bangladesh,2014,2019,66,59,7,1333,102,25.63,1461,91.23,1,6
Gulbadin Naib ,Afghanistan,2011,2025,89,78,11,1332,82,19.88,1767,75.38,0,5
KMDN Kulasekara ,Sri Lanka,2003,2017,184,123,37,1327,73,15.43,1629,81.46,0,4
Aarif Sheikh ,Nepal,2018,2025,61,52,6,1326,84,28.82,2019,65.67,0,9
JR Hopes ,Australia,2005,2010,84,61,8,1326,63,25.01,1415,93.71,0,3
SM Katich ,Australia,2001,2006,45,42,5,1324,107,35.78,1926,68.74,1,9
TLW Cooper ,Netherlands,2010,2023,32,31,2,1319,101,45.48,1814,72.71,1,12
M van Lingen ,Namibia,2021,2024,40,39,5,1318,133,38.76,1429,92.23,5,5
FDM Karunaratne ,Sri Lanka,2011,2023,50,46,4,1316,103,31.33,1654,79.56,1,11
Javed Omar ,Bangladesh,1995,2007,59,59,4,1312,85,23.85,2528,51.89,0,10
Raqibul Hasan ,Bangladesh,2008,2011,55,54,7,1308,89,27.82,2133,61.32,0,8
AA Obanda ,Kenya,2007,2014,49,45,2,1306,96,30.37,1764,74.03,0,9
MS Sinclair ,New Zealand,2000,2009,54,50,4,1304,118,28.34,2086,62.51,2,8
Vikramjit Singh ,Netherlands,2022,2025,46,45,1,1304,110,29.63,1820,71.64,1,8
MD Shanaka ,Sri Lanka,2016,2024,71,63,5,1299,108,22.39,1420,91.47,2,4
PN Kirsten ,South Africa,1991,1994,40,40,6,1293,97,38.02,2308,56.02,0,9
MJ Prior ,England,2004,2011,68,62,9,1282,87,24.18,1670,76.76,0,3
Nasir Hossain ,Bangladesh,2011,2018,65,52,8,1281,100,29.11,1605,79.81,1,6
Zeeshan Maqsood ,Oman,2019,2024,48,47,5,1273,109,30.3,1891,67.31,2,7
NR Mongia ,India,1994,2000,140,96,33,1272,69,20.19,1845,68.94,0,2
C Munro ,New Zealand,2013,2019,57,53,2,1271,87,24.92,1214,104.69,0,8
Asif Khan ,United Arab Emirates,2022,2025,38,37,4,1270,151,38.48,1569,80.94,3,7
JEC Franklin ,New Zealand,2001,2013,110,80,27,1270,98,23.96,1651,76.92,0,4
AB Agarkar ,India,1998,2007,191,113,26,1269,95,14.58,1574,80.62,0,3
Shoaib Mohammad ,Pakistan,1984,1993,63,58,6,1269,126,24.4,2492,50.92,1,8
Basit Ali ,Pakistan,1993,1996,50,43,6,1265,127,34.18,1669,75.79,1,9
SR Taylor ,United States,2019,2024,49,49,0,1265,114,25.81,1606,78.76,1,7
S Samarawickrama ,Sri Lanka,2017,2024,50,45,5,1261,108,31.52,1356,92.99,1,8
MN Waller ,Zimbabwe,2009,2018,79,72,6,1259,99,19.07,1639,76.81,0,5
SP O'Donnell ,Australia,1985,1991,87,64,15,1242,74,25.34,1534,80.96,0,9
BFW de Leede ,Netherlands,2018,2025,54,50,5,1239,123,27.53,1789,69.25,1,6
RR Rossouw ,South Africa,2014,2016,36,35,3,1239,132,38.71,1313,94.36,3,7
Harbhajan Singh ,India,1998,2015,236,128,35,1237,49,13.3,1526,81.06,0,0
SG Law ,Australia,1994,1999,54,51,5,1237,110,26.89,1643,75.28,1,7
Alok Kapali ,Bangladesh,2002,2011,69,66,3,1235,115,19.6,1817,67.96,1,5
Aqib Ilyas ,Oman,2019,2024,32,30,2,1234,109,44.07,1645,75.01,2,9
R Ravindra ,New Zealand,2023,2025,33,29,1,1233,123,44.03,1129,109.21,5,4
GM Hamilton ,Scotland,1999,2010,38,38,3,1231,119,35.17,1847,66.64,2,7
D Mongia ,India,2001,2007,57,51,7,1230,159,27.95,1721,71.47,1,4
RW Marsh ,Australia,1971,1984,92,76,15,1225,66,20.08,1489,82.26,0,4
HDPK Dharmasena ,Sri Lanka,1994,2004,141,87,33,1222,69,22.62,1879,65.03,0,4
Shaiman Anwar ,United Arab Emirates,2014,2019,40,40,1,1219,106,31.25,1477,82.53,1,11
Noor Ali Zadran ,Afghanistan,2009,2019,51,50,1,1216,114,24.81,1923,63.23,1,7
TM Moody ,Australia,1987,1999,76,64,12,1211,89,23.28,1747,69.31,0,10
Junaid Siddique ,Bangladesh,2007,2011,54,53,1,1196,100,23.0,1753,68.22,1,6
Mohammad Rafique ,Bangladesh,1995,2007,125,106,17,1191,77,13.38,1663,71.61,0,2
RW Chakabva ,Zimbabwe,2008,2022,61,57,3,1188,102,22.0,1751,67.84,1,4
BM Duckett ,England,2016,2025,25,25,1,1176,165,49.0,1115,105.47,3,8
B Lee ,Australia,2000,2012,221,110,44,1176,59,17.81,1407,83.58,0,3
B McMullen ,Scotland,2022,2025,35,31,4,1175,151,43.51,1336,87.94,4,4
JA Rudolph ,South Africa,2003,2006,45,39,6,1174,81,35.57,1725,68.05,0,7
Nawroz Mangal ,Afghanistan,2009,2016,49,48,6,1139,129,27.11,1512,75.33,2,4
CJA Amini ,Papua New Guinea,2014,2023,49,49,1,1128,109,23.5,1674,67.38,1,7
T Mishra ,Kenya,2006,2013,42,40,7,1128,72,34.18,1534,73.53,0,8
Agha Salman ,Pakistan,2022,2025,41,34,6,1116,134,39.85,1154,96.7,1,6
PL Mommsen ,Scotland,2010,2017,44,42,6,1115,139,30.97,1615,69.04,2,6
C Campher ,Ireland,2020,2025,43,35,2,1113,120,33.72,1409,78.99,1,7
MF Maharoof ,Sri Lanka,2004,2016,109,75,18,1113,69,19.52,1294,86.01,0,2
GD Phillips ,New Zealand,2022,2025,44,36,8,1112,106,39.71,1091,101.92,1,5
CJ Anderson ,New Zealand,2013,2017,49,45,5,1109,131,27.72,1020,108.72,1,4
HS Modi ,Kenya,1996,2006,63,56,9,1109,78,23.59,1906,58.18,0,5
ES Szwarczynski ,Netherlands,2006,2014,41,40,3,1102,98,29.78,1615,68.23,0,10
VS Solanki ,England,2000,2006,51,46,5,1097,106,26.75,1504,72.93,2,5
B Zuiderent ,Netherlands,1996,2011,57,56,10,1097,77,23.84,1873,58.56,0,8
RL Chase ,West Indies,2017,2025,63,48,9,1091,94,27.97,1383,78.88,0,6
PA Strang ,Zimbabwe,1994,2001,95,73,24,1090,47,22.24,1651,66.02,0,0
S Bau ,Papua New Guinea,2016,2023,57,57,3,1089,81,20.16,1763,61.76,0,5
Towhid Hridoy ,Bangladesh,2023,2025,38,34,3,1087,100,35.06,1343,80.93,1,9
G Boycott ,England,1971,1981,36,34,4,1082,105,36.06,2020,53.56,1,9
JN Loftie-Eaton ,Namibia,2021,2025,48,44,6,1078,73,28.36,1439,74.91,0,7
F Behardien ,South Africa,2013,2018,59,49,14,1074,70,30.68,1097,97.9,0,6
Ayaan Khan ,Oman,2021,2024,41,38,2,1072,105,29.77,1427,75.12,1,5
NL McCullum ,New Zealand,2009,2015,84,62,11,1070,65,20.98,1220,87.7,0,4
Asif Mujtaba ,Pakistan,1986,1996,66,55,14,1068,113,26.04,1671,63.91,1,6
DW Randall ,England,1976,1985,49,45,5,1067,88,26.67,1702,62.69,0,5
DS Airee ,Nepal,2018,2025,64,60,7,1066,105,20.11,1472,72.41,1,4
DS Smith ,West Indies,2003,2013,47,45,2,1059,107,24.62,1506,70.31,1,5
JK Kamande ,Kenya,1999,2011,86,72,11,1055,74,17.29,1685,62.61,0,3
IDS Smith ,New Zealand,1980,1992,98,77,16,1055,62,17.29,1061,99.43,0,3
C Kieswetter ,England,2010,2013,46,40,5,1054,107,30.11,1172,89.93,1,5
